flare_id,log,n_flashes,flare_len_s,beacon_id,night,since_dusk_s,glyph,shape_id,flourish,region,cluster,cluster_num,date_seen
FLR-04511,RIDGE,4,0.5066,5722,,,4D,,,R1,F,3,11/02/2010
FLR-04512,RIDGE,5,0.7895,5978,,,1+1+3,,,R1,J,4,31/01/2009
FLR-04513,LAMP,5,0.3137917,2,N-028,28188.1189,,4,0,,,,
FLR-04514,LAMP,6,1.4972188,2,N-011,1876.7449,,16,0,,,,
FLR-04515,LAMP,4,1.1449065,3,N-002,14651.0934,,0,0,,,,
FLR-04516,RIDGE,5,1.2989084,5759,,,1+1+3,,,R1,S,9,29-04-2014
FLR-04517,RIDGE,5,1.3204667,0,,,1+1+3,,,R1,F,3,31/03/2015
FLR-04518,RIDGE,5,0.347,0,,,5R1,,,R1,D,2,26/02/2010
FLR-04519,LAMP,5,1.2592612,3,N-013,20708.3024,,2,1,,,,
FLR-04520,RIDGE,5,0.4864199,0,,,5R2,,,R1,F,3,19/03/2015
FLR-04521,RIDGE,5,0.771925,0,,,1+1+3,,,R1,S,9,29-04-2014
FLR-04522,RIDGE,5,1.2759674,5151,,,1+1+3,,,R1,U,11,26/03/2015
FLR-04523,RIDGE,9,0.4255,5151,,,9i,,,R1,U,11,11/02/2010
FLR-04524,RIDGE,5,0.829,0,,,1+1+3,,,R1,R,8,19/04/2008
FLR-04525,RIDGE,5,1.3665334,9999,,,5R3,,,R2,ZZZ,13,12-04-2016
FLR-04526,RIDGE,5,1.4350199,0,,,1+1+3,,,R1,A,1,16-04-2014
FLR-04527,LAMP,5,0.4928917,2,N-016,21395.876,,4,0,,,,
FLR-04528,LAMP,5,0.528326,2,N-003,16723.4427,,4,0,,,,
FLR-04529,RIDGE,4,0.5119,0,,,4D,,,R1,F,3,04/03/2010
FLR-04530,RIDGE,5,0.7377668,0,,,1+1+3,,,R1,J,4,12/05/2016
FLR-04531,LAMP,5,1.2806325,2,N-033,18449.7905,,2,0,,,,
FLR-04532,RIDGE,5,0.9218497,0,,,1+1+3,,,R1,J,4,10-04-2015
FLR-04533,RIDGE,5,1.13985,5586,,,1+1+3,,,R1,A,1,02-03-2015
FLR-04534,LAMP,5,1.24815,1,N-014,716.1405,,2,0,,,,
FLR-04535,LAMP,5,0.312675,2,N-027,13198.0105,,4,0,,,,
FLR-04536,RIDGE,5,0.3275084,5151,,,5R1,,,R1,U,11,31-03-2015
FLR-04537,LAMP,5,0.5238402,2,N-017,29114.0277,,4,0,,,,
FLR-04538,RIDGE,7,1.2079,5722,,,7D1,,,R1,F,3,12/02/2010
FLR-04539,LAMP,5,1.1636603,1,N-030,9664.8623,,2,0,,,,
FLR-04540,LAMP,8,0.3895331,3,N-045,5963.0277,,13,0,,,,
FLR-04541,RIDGE,5,0.3339,6058,,,5R1,,,R1,U,11,11/02/2010
FLR-04542,RIDGE,5,0.3378,0,,,5R1,,,R1,U,11,16/02/2009
FLR-04543,RIDGE,7,0.482,0,,,7i,,,R1,A,1,25/02/2010
FLR-04544,RIDGE,5,0.30575,0,,,5R1,,,R1,S,9,01-04-2015
FLR-04545,LAMP,5,0.3328473,1,N-044,27794.9073,,2,0,,,,
FLR-04546,RIDGE,7,0.1792,5703,,,7i,,,R1,F,3,07/02/2005
FLR-04547,LAMP,5,1.242825,1,N-015,13174.7728,,2,0,,,,
FLR-04548,RIDGE,9,0.4140833,5151,,,9i,,,R1,U,11,26/03/2015
FLR-04549,LAMP,5,1.2587865,5,N-015,12397.1676,,2,0,,,,
FLR-04550,LAMP,5,1.1967584,1,N-002,13925.6715,,2,0,,,,
FLR-04551,RIDGE,5,1.3292,5979,,,1+1+3,,,R1,J,4,04/05/2008
FLR-04552,RIDGE,5,0.8301261,5979,,,1+1+3,,,R1,J,4,10-04-2015
FLR-04553,LAMP,4,0.6053649,3,N-003,17293.8609,,0,0,,,,
FLR-04554,RIDGE,6,0.407,0,,,6i,,,R1,V,12,26/01/2010
FLR-04555,LAMP,5,1.0549583,1,N-001,3942.3997,,2,0,,,,
FLR-04556,RIDGE,5,1.2634986,0,,,1+1+3,,,R1,F,3,31/03/2015
FLR-04557,RIDGE,5,0.6957049,0,,,1+1+3,,,R1,J,4,12-05-2016
FLR-04558,RIDGE,5,0.7648167,5586,,,1+1+3,,,R1,A,1,02-03-2015
FLR-04559,LAMP,5,0.5665585,4,N-005,3270.998,,4,0,,,,
